| **Category**             | **Pledge**                                                              | **Status**                                                                             | **% Complete** |
| :----------------------- | :---------------------------------------------------------------------- | :------------------------------------------------------------------------------------- | :------------: |
| **Cost of Living & Tax** | Cut USC lower rate from **3% to 1.5%**                                  | No change to the lower USC rate; government cut the 4% band to 3% instead              |       0%       |
|                          | Raise higher-rate tax entry point to **€50 000**                        | Budget 2025 raised the threshold to **€44 000** (from €42 000) — partial progress      |       20%      |
|                          | Increase state pension to **€350/week**                                 | Pension was increased by **€12** to **€289.30/week** from Jan ’25 — still below target |       20%      |
|                          | Cap childcare costs at **€200/month**                                   | No cap introduced to date                                                              |       0%       |
|                          | Abolish means test for Carer’s Allowance                                | Means-test disregard raised to **€625/€1 250** but not abolished                       |       30%      |
| **Housing**              | Build **60 000 homes/yr** by 2030                                       | **30 330** completions in 2024 (\~50% of the 60 000 target)                            |       50%      |
|                          | Protect & extend Help-to-Buy & First Home schemes to 2030               | Schemes extended through 2029/30                                                       |      100%      |
|                          | Increase vacancy/refurbishment grants by **€10 000**                    | Grants extended but no evidence of the €10 000 uplift                                  |       0%       |
|                          | Create **2 000 Housing First** tenancies                                | No implementation reported                                                             |       0%       |
|                          | Introduce **€2 500** legal-fees tax credit for FTBs                     | No introduction to date                                                                |       0%       |
|                          | Raise rent-tax credit to **€2 000**                                     | Credit doubled to **€1 000** per person (€2 000 joint)                                 |       50%      |
| **Health**               | Add **4 000** hospital beds + **100** ICU beds                          | No specific new bed-numbers announced in Budget 2025                                   |       0%       |
|                          | Extend free GP care to under-12s                                        | Not implemented                                                                        |       0%       |
|                          | Reduce Drugs Payment Scheme cap from **€80 to €40**                     | No change                                                                              |       0%       |
|                          | Free Hormone Replacement Therapy (HRT)                                  | Free HRT introduced in Budget 2025                                                     |      100%      |
|                          | Decriminalise certain drugs (e.g., cannabis)                            | No legislation to date                                                                 |       0%       |
| **Infrastructure**       | Ring-fence **€3 bn** (AIB shares) for water, housing, transport, energy | **€3 bn** ring-fenced in Budget 2025                                                   |      100%      |
|                          | Allocate **€1 bn** to Irish Water capital upgrades                      | **€1 bn** allocated in Budget 2025                                                     |       33%      |
|                          | Invest **€750 m** in electricity-grid upgrades                          | **€750 m** allocated in Budget 2025                                                    |       50%      |
