| **Category**             | **Pledge**                                                          | **Weight** | **% Complete** | **Contribution** |
| :----------------------- | :------------------------------------------------------------------ | ---------: | -------------: | ---------------: |
| **Cost of Living & Tax** | Cut USC lower rate from 3% to 1.5%                                  |       5.0% |             0% |            0.00% |
|                          | Raise higher-rate threshold to €50 000                              |      10.0% |            20% |            2.00% |
|                          | Increase state pension to €350/week                                 |      10.0% |            20% |            2.00% |
|                          | Cap childcare costs at €200/month                                   |       3.0% |             0% |            0.00% |
|                          | Abolish means test for Carer’s Allowance                            |       2.0% |            30% |            0.60% |
| **Housing**              | Build 60 000 homes p.a. by 2030                                     |      20.0% |            50% |           10.00% |
|                          | Extend Help-to-Buy & First Home schemes to 2030                     |       7.0% |           100% |            7.00% |
|                          | Increase vacancy/refurbishment grants by €10 000                    |       2.0% |             0% |            0.00% |
|                          | Create 2 000 Housing First tenancies                                |       2.0% |             0% |            0.00% |
|                          | Introduce €2 500 legal-fees tax credit for FTBs                     |       2.0% |             0% |            0.00% |
|                          | Raise rent-tax credit to €2 000                                     |       2.0% |            50% |            1.00% |
| **Health**               | Add 4 000 hospital beds + 100 ICU beds                              |       4.0% |             0% |            0.00% |
|                          | Extend free GP care to under-12s                                    |       3.0% |             0% |            0.00% |
|                          | Lower Drugs Payment Scheme cap from €80 to €40                      |       3.0% |             0% |            0.00% |
|                          | Free Hormone Replacement Therapy (HRT)                              |       3.0% |           100% |            3.00% |
|                          | Decriminalise certain drugs (e.g. cannabis)                         |       2.0% |             0% |            0.00% |
| **Infrastructure**       | Ring-fence €3 bn (AIB shares) for water, housing, transport, energy |      10.0% |           100% |           10.00% |
|                          | Allocate €1 bn to Irish Water capital upgrades                      |       5.0% |            33% |            1.65% |
|                          | Invest €750 m in electricity-grid upgrades                          |       5.0% |            50% |            2.50% |
|                          | **Total**                                                           | **100.0%** |                |     **\~39.75%** |
