| Party                     | Score (0–100) | Evidence                                                                                                                                                                                   |
| ------------------------- | ------------: | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| **Fianna Fáil**           |            25 | • Government apology for the CervicalCheck scandal in Dáil debate (22 Oct 2019)                                                                                                            |
| **Fine Gael**             |            50 | • FG TD apologised for inappropriate behaviour in a bar (Feb 2025) <br>• Internal investigation led to resignation of senior official Fergus O’Rourke (Mar 2025)                           |
| **Sinn Féin**             |            30 | • No major self-issued apologies for its own controversies; public statements of regret directed at third parties (e.g. broadcaster)                                                       |
| **Green Party**           |            60 | • TD Brian Leddin apologised for an ‘inappropriate’ WhatsApp comment (Jun 2021) <br>• Leader Eamon Ryan apologised for repeating a racial slur in the Dáil (Jun 2019)                      |
| **Labour Party**          |            60 | • Labour apologised for using an inappropriate TikTok soundtrack in a promotional video (Jan 2025)                                                                                         |
| **Social Democrats**      |            75 | • TD Gary Gannon apologised for a “poor comment” about journalists (Dec 2024) <br>• TD Eoin Hayes was suspended and issued a formal apology for incorrect financial disclosures (Nov 2024) |
| **People Before Profit**  |            40 | • Internal departures over “performative politics” with no formal public apologies issued by leadership                                                                                    |
| **Aontú**                 |            30 | • Leader Peadar Tóibín criticises the Government’s lack of accountability, but no recorded party apologies or disciplinary actions for its own mistakes                                    |
| **Independents 4 Change** |            35 | • No public records of formal apologies or disciplinary measures identified on party Wikipedia or in news sources                                                                          |
| **Right to Change**       |            40 | • Founded May 2020; no significant self-issued apologies or internal sanctions documented in party sources or news outlets                                                                 |
| **Independent Ireland**   |            50 | • Councillor Philip Sutcliffe Snr resigned after controversy over his associations; party leadership signalled and enforced disciplinary measures                                          |
