| **Pledge**                                             | **Evidence / Status of Influence**                                                                                                                                           | **% Score** | **Weight** | **Contribution** |
| ------------------------------------------------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------: | ---------: | ---------------: |
| **Deliver 300,000 homes (2025–29)**                    | Sinn Féin published the detailed A Home of Your Own plan and forced Govt to raise housing targets in late 2024 debates; Dáil Committee referenced their figures in May ’25.  |         30% |      25.0% |            7.50% |
| **Abolish USC on first €45 k**                         | SF motions in the Dáil and public campaigns drove the Govt to modest USC relief discussions—but no policy change yet.                                                        |         25% |      10.0% |            2.50% |
| **€10/day childcare**                                  | SF secured high‐profile media coverage and cross-party roundtables; Govt launched a review but no price cap enacted.                                                         |         20% |      10.0% |            2.00% |
| **Ban rent increases for 3 yrs**                       | Through Dáil amendments and public pressure, SF helped extend and expand RPZs—a de facto rent cap.                                                                           |         40% |      10.0% |            4.00% |
| **Increase minimum wage**                              | SF’s private members’ bills and union alliances contributed to the Govt’s 2025 increase from €11.30 to €12.70.                                                               |         30% |      10.0% |            3.00% |
| **Universal healthcare (Irish NHS)**                   | SF’s Prescription for Change plan featured in Oireachtas debates; Sláintecare review body cited many SF proposals—but implementation remains slow.                           |         10% |       5.0% |            0.50% |
| **Cost-of-living measures (free prescriptions, etc.)** | SF’s cost-of-living mini-budget push forced Govt to raise drug payment thresholds, but wider package not adopted.                                                            |         15% |      10.0% |            1.50% |
| **Referendum on Irish unity by 2030**                  | SF won cross-party Oireachtas Committee backing to plan referenda; Govt announced preparatory unit in 2025.                                                                  |         40% |      10.0% |            4.00% |
| **Abolish Local Property Tax**                         | SF motions and campaigns led the Govt to freeze the LPT for 2025–26, but abolition not legislated.                                                                           |         20% |       5.0% |            1.00% |
| **Reverse recent petrol/diesel excise hikes**          | SF’s Dáil questions and media campaigns forced a 12-month freeze on duty hikes from Jan 2025.                                                                                |         35% |       5.0% |            1.75% |
| **Total**                                              |                                                                                                                                                                              |             |   **100%** |       **26.25%** |
